filename,page_number,chunk_number,chunk
VB.NET_CODING_IN_UIPATH.pdf,10,4,"e in an expression editor in UiPath and intellisense will popup like below, to show all available options. The symbols on the left of the nam es represent the "
VB.NET_CODING_IN_UIPATH.pdf,10,5,type of object. It is often useful to know what those symbols represent when coding in VB.NET… Here are some symbols and their object types: Namespace For example
VB.NET_CODING_IN_UIPATH.pdf,11,1,7 | P a g e C l i c k t o fo l l o 
VB.NET_CODING_IN_UIPATH.pdf,11,2,w Class (also called a function) Fo
VB.NET_CODING_IN_UIPATH.pdf,11,3,r example Method For example Variab
VB.NET_CODING_IN_UIPATH.pdf,11,4,le For example: There are a few oth
VB.NET_CODING_IN_UIPATH.pdf,11,5,ers but those are the most used ones.
VB.NET_CODING_IN_UIPATH.pdf,12,1,8 | P a g e C l i c k t o fo l l o w 1.10 VB.NET R
VB.NET_CODING_IN_UIPATH.pdf,12,2,eference Cheat Sheet For another VB.NET Cheat Shee
VB.NET_CODING_IN_UIPATH.pdf,12,3,t visit this link: https://drive.google.com/file/d
VB.NET_CODING_IN_UIPATH.pdf,12,4,/1fZbQBSnZq9IwfJNE -5-kQiCbr4H304f9/view?usp=shari
VB.NET_CODING_IN_UIPATH.pdf,12,5,ng Let’s now get into the fun and do some examples…
VB.NET_CODING_IN_UIPATH.pdf,13,1,"9 | P a g e C l i c k t o fo l l o w 2. Excel 2.1 How to Count Rows in a DataTable While working with Excel, sometimes it is necessa"
VB.NET_CODING_IN_UIPATH.pdf,13,2,ry to find the number of records / rows available in it. total_Count = my_DataTable.Rows.Count Note: my_DataTable is the DataTable y
VB.NET_CODING_IN_UIPATH.pdf,13,3,ou are counting the rows of. Let us implement a workflow to count the total number of rows in Excel. Implementation with UiPath Step
VB.NET_CODING_IN_UIPATH.pdf,13,4, 1: Drag the “Read Range ” activity from the Workbook library into the design panel and supply the “File Path” to it. Step 2: Ensure
VB.NET_CODING_IN_UIPATH.pdf,13,5, the ‘Add Headers ’ property is checked and you have created a new output DataTable variable . In this case we called it my_DataTable
VB.NET_CODING_IN_UIPATH.pdf,14,1,10 | P a g e C l i c k t o fo l l o w Step 3: Drag a “Message Box” 
VB.NET_CODING_IN_UIPATH.pdf,14,2,"activity to display the rows count. Step 4: Now, run the code . It "
VB.NET_CODING_IN_UIPATH.pdf,14,3,returns 3 because there are three rows in the Excel Sheet (excludin
VB.NET_CODING_IN_UIPATH.pdf,14,4,g the header). Click the link below to download the example project
VB.NET_CODING_IN_UIPATH.pdf,14,5,: https://drive.google.com/open?id=1OgRsFEypWz1G3nTP5f_lFrxXUHtAcpPn
VB.NET_CODING_IN_UIPATH.pdf,15,1,"11 | P a g e C l i c k t o fo l l o w 2.2 How to Get a DataTable With Specified Columns While dealing with data table operations, sometimes we might want to retrieve only specific columns from it. You can do t his using the following co"
VB.NET_CODING_IN_UIPATH.pdf,15,2,"de: dt_New=dt_Original.DefaultView.toTable(false,”Column1 ″,”Column2 ″,…) Note: Simply replace the “Column1 ″,”Column2 ” and so on with your required Columns Implementation with UiPath Let us implement a workflow which takes a “ DataTab"
VB.NET_CODING_IN_UIPATH.pdf,15,3,"le” and outputs the “DataTable with specified columns”. In this case, only the “Name” column. Step 1: Drag a “Build Data Table” activity into the design panel and populate it with some sample data. Step 2: Drag an “Assign” activity into"
VB.NET_CODING_IN_UIPATH.pdf,15,4, the des ign panel and fill it with above -mentioned code. Step 3: Drag a “Message Box” activity to display the result Note: Here we have used LINQ to display the DataTable Instead of Output DataTable . LINQ is Language Integrated Query
VB.NET_CODING_IN_UIPATH.pdf,15,5, is a Microsoft .NET Framework component that adds native data querying capabilities to .NET languages. This expression is equivalent to using an “Output DataTable” Activity (used to convert a DataTable data type to a String D ataTyp e).
VB.NET_CODING_IN_UIPATH.pdf,16,1,12 | P a g e C l i c k t o fo l l o w string.join(System.Environ
VB.NET_CODING_IN_UIPATH.pdf,16,2,"ment.NewLine, dt_YourDataTable.Rows.Cast(of DataRow).Select(func"
VB.NET_CODING_IN_UIPATH.pdf,16,3,"tion(row) string.join(“,”,row.ItemArray)))) Step 3: Finally, the"
VB.NET_CODING_IN_UIPATH.pdf,16,4, output: Click the link below to download the example project: h
VB.NET_CODING_IN_UIPATH.pdf,16,5,ttps://drive.google.com/open?id=1LLC_7bsfnpUQWDVnHHQWZo7tLlcfEIux
VB.NET_CODING_IN_UIPATH.pdf,17,1,"13 | P a g e C l i c k t o fo l l o w 2.3 How to Get the Sheet Name From Excel Excel is the most used application in the business process automation. To work with it, we might so"
VB.NET_CODING_IN_UIPATH.pdf,17,2,"metimes want to know the sheets available in it, let us see how to find all the sheet names available in a workbook. wb as WorkbookApplication wb.GetSheets Implementation with Ui"
VB.NET_CODING_IN_UIPATH.pdf,17,3,Path Let us implem ent a workflow which takes a sample excel file and displays all the sheets available in it. Step 1: Drag “Excel Application Scope” activity into the designer p
VB.NET_CODING_IN_UIPATH.pdf,17,4,anel and supply the following values into the activity’s properties panel . Excel needs to be installed on your machine to use this. Note: WorkbookPath: “Sample_Excel.xlsx” (Stri
VB.NET_CODING_IN_UIPATH.pdf,17,5,ng type) Workbook: myWorkbook (WorkbookApplication type) Step 2: Drag “For Each” activity into the designer panel and supply the values to it as shown below. myWorkbook.GetSheets
VB.NET_CODING_IN_UIPATH.pdf,18,1,14 | P a g e C l i c k t o fo l l o w Step 3: 
VB.NET_CODING_IN_UIPATH.pdf,18,2,Use “ Message Box ” to display the sheets. Ste
VB.NET_CODING_IN_UIPATH.pdf,18,3,"p 4: Now, execute . Click the link below to do"
VB.NET_CODING_IN_UIPATH.pdf,18,4,wnload the example project: https://drive.goog
VB.NET_CODING_IN_UIPATH.pdf,18,5,le.com/open?id=1ON0JghAo07tljlrjN8R7kaUWN7aRwPXR
VB.NET_CODING_IN_UIPATH.pdf,19,1,15 | P a g e C l i c k t o fo l l o w 2.4 How to Get Top N Records from a DataTable Sometimes we might be asked to process only the top N records out of the total available records in t
VB.NET_CODING_IN_UIPATH.pdf,19,2,he DataTable . Let us see how to implement it … new_DataTable=old_DataTable.AsEnumerable().Take(N).CopyToDataTable() Note: Replace old_DataTable with your DataTable And replace N with a
VB.NET_CODING_IN_UIPATH.pdf,19,3," number e.g. N= 1,2,3…. Implementation with UiPath Let us implement a workflow which takes a sample DataTable and displays the top N records of it, according to our supplied input. Step"
VB.NET_CODING_IN_UIPATH.pdf,19,4, 1: Drag “Build Data Table” activity into the designer panel and insert some sample data into it. Step 2: Drag “Assign” activity into the designer panel and populate it with the below c
VB.NET_CODING_IN_UIPATH.pdf,19,5,ode to get the top 3 records . dt_Sample.AsEnumerable().Take(3).CopyToData Table() Step 3: Drag “Output Data Table” activity into the designer panel to convert Data Table to String type.
VB.NET_CODING_IN_UIPATH.pdf,20,1,16 | P a g e C l i c k t o fo l l o w Step 4: Drag “Messag
VB.NET_CODING_IN_UIPATH.pdf,20,2,e Box” activity into the designer panel to display the mod
VB.NET_CODING_IN_UIPATH.pdf,20,3,"ified data table. Step 5: Finally, let’s run the project. "
VB.NET_CODING_IN_UIPATH.pdf,20,4,Click the link below to download the example project: http
VB.NET_CODING_IN_UIPATH.pdf,20,5,s://drive.google.com/open?id=1_3sevd7NpAgY2huoNMKWphuQ3amZRYnR
VB.NET_CODING_IN_UIPATH.pdf,21,1,17 | P a g e C l i c k t o fo l l o w 2.5 How to Find the Max and Average Value from a DataTable Assuming we have a data set and we need to calculate the max and average of a particular column. How do we do it? MAX Value: myMax_Value 
VB.NET_CODING_IN_UIPATH.pdf,21,2,= dt_Sample.AsEnumerable().Max(Function(row) cint(row(“ColumnName”))) AVERAGE Value: myAverageValue = dt_Sample.AsEnumerable().Average(Function(row) cint(r ow(“ColumnName”))) Note: 1.Replace dt_Sample with your DataTable 2.Replace Col
VB.NET_CODING_IN_UIPATH.pdf,21,3,umnName with your required column name Implementation with UiPath Let us implement a workflow which takes a sample DataTable and displays the Max and Average of a particular column of that DataTable Step 1: Drag “Build Data Table” act
VB.NET_CODING_IN_UIPATH.pdf,21,4,ivity into the design panel and populate it with some sample data. Step 2: Drag “Message Box” activity into the design panel to display the Max value of Sales Column and populate it with the below code. dt_Sample.AsEnumerable().Max(Fu
VB.NET_CODING_IN_UIPATH.pdf,21,5,nction(row) cint(row(“Sales”))) Step 3: Drag “Message Box” activity into the design panel to display the Average value of Sales column and populate it with the below code. dt_Sample.AsEnumerable().Average(Function(row) cint(row(“Sales”)))
VB.NET_CODING_IN_UIPATH.pdf,22,1,18 | P a g e C l i c k t o fo l l o w Step 4
VB.NET_CODING_IN_UIPATH.pdf,22,2,": Finally, let’s run the project. Max Value:"
VB.NET_CODING_IN_UIPATH.pdf,22,3, Average Value: Click the link below to down
VB.NET_CODING_IN_UIPATH.pdf,22,4,load the example project: https://drive.goog
VB.NET_CODING_IN_UIPATH.pdf,22,5,le.com/open?id=1JgHyueNlR59U8tJVUfIMr31w67G2cKKw
VB.NET_CODING_IN_UIPATH.pdf,23,1,19 | P a g e C l i c k t o fo l l o w 2.6 How to Reorder Columns in a DataTable Sometimes we need to change the order of the columns in excel and then process the d
VB.NET_CODING_IN_UIPATH.pdf,23,2,ata. dt_Sample.Columns(“ ColumnName ”).SetOrdinal( Parameter ) Note: 1.ColumnName – The name of the column for which we want to change the position. 2.Parameter – T
VB.NET_CODING_IN_UIPATH.pdf,23,3,he position or index to which we want to move the column to (Indexing starts from zero). SetOrdinal method can be used to achieve the above using an “Invoke Method 
VB.NET_CODING_IN_UIPATH.pdf,23,4,” activity. This is the same thing as: dt_Sample = dt_Sample.Columns(“Country”).SetOrdinal(0) Implementation with UiPath Let us implement a workflow which reads an 
VB.NET_CODING_IN_UIPATH.pdf,23,5,excel file and then we will try to reorder the columns. Step 1: Drag a Workbook “Read Range” activit y into the design panel to read the excel file into a Data Table.
VB.NET_CODING_IN_UIPATH.pdf,24,1,20 | P a g e C l i c k t o fo l l o w Step 2: Drag “Invoke Method” activity into the design panel and
VB.NET_CODING_IN_UIPATH.pdf,24,2, populate it with the below -mentioned code. Note: TargetObject – dt_Sample.Columns(“Country”) Method
VB.NET_CODING_IN_UIPATH.pdf,24,3,Name – SetOrdinal In Parameter – 0 (0 indicates first column position) Drag another “Invoke Method” a
VB.NET_CODING_IN_UIPATH.pdf,24,4,ctivity into the design panel and populate it with the below -mentioned code. Note: TargetObject – dt
VB.NET_CODING_IN_UIPATH.pdf,24,5,_Sample.Columns(“City”) MethodName – SetOrdinal In Parameter – 1 (1 indicates second column positio n)
VB.NET_CODING_IN_UIPATH.pdf,25,1,21 | P a g e C l i c k t o fo l l o w Step 3: Drag “Output Data Table” activity into the design panel and convert 
VB.NET_CODING_IN_UIPATH.pdf,25,2,the Data Table to String type. Step 4: Drag “Message Box” activity into the design panel to display the modified d
VB.NET_CODING_IN_UIPATH.pdf,25,3,"ata table. Step 5: Finally, we execute the workflow . We can see the modified DataTable with reordered column name"
VB.NET_CODING_IN_UIPATH.pdf,25,4,"s . The original order was Name, Country, City. Now the new order is Country, City, Name Click the link below to d"
VB.NET_CODING_IN_UIPATH.pdf,25,5,ownload the example project: https://driv e.google.com/drive/folders/136dTOAt9GMl3e8ycxISufwXYuR_zQfzH?usp=sharing
VB.NET_CODING_IN_UIPATH.pdf,26,1,"22 | P a g e C l i c k t o fo l l o w 2.7 How to Rename DataTable Columns In RPA as we often work with excel, there are so many operations that we usually perform on it. What if we are asked"
VB.NET_CODING_IN_UIPATH.pdf,26,2, to rename a column of a DataTable? Let us see how to do it!!! dataTable .Columns( “old_ColumnName”) .ColumnName = “new_ColumnName” Note: 1. old_ColumnName is the name of the specific column
VB.NET_CODING_IN_UIPATH.pdf,26,3, that you want to rename 2. new_ColumnName is the column name with which you want to rename the above old column name with. Implementation with UiPath Let us implement a workflow which takes
VB.NET_CODING_IN_UIPATH.pdf,26,4, a sample DataTable as input and we will try to rename an existing column of it from “Name” to “FirstName” Step 1: Drag “Build Data Table” activity into the design panel and populate it with
VB.NET_CODING_IN_UIPATH.pdf,26,5, some sample data. Step 2: Drag an “Assign” activity into the design panel and fill it with above -mentioned code. Note: We are renaming “Name” column of above build DataTable to “FirstName”
VB.NET_CODING_IN_UIPATH.pdf,27,1,23 | P a g e C l i c k t o fo l l o w Step 3: Drag “Output Data Table” activity
VB.NET_CODING_IN_UIPATH.pdf,27,2, into the design panel and convert Data Table to Str ing type. Step 4: Drag “Me
VB.NET_CODING_IN_UIPATH.pdf,27,3,ssage Box” activity into the design panel to display the modified data table. S
VB.NET_CODING_IN_UIPATH.pdf,27,4,"tep 5: Finally, let’s run the project. Click the link below to download the exa"
VB.NET_CODING_IN_UIPATH.pdf,27,5,mple project: https://drive.google.com/open?id=1K26DHdDYFgRffuyq3qqIOQ4 -D9vQ1czw
VB.NET_CODING_IN_UIPATH.pdf,28,1,24 | P a g e C l i c k t o fo l l o w 2.8 How to Convert a DataTable Column to a List We may be required to take the values from a column of a DataTable and then convert it to a list so that we
VB.NET_CODING_IN_UIPATH.pdf,28,2, can perform further actions or decision flows. Let us see how to do it in UiPath? MyList = ( From row in dt_Sample.AsEnumerable() Select Convert.Tostring( row(“ColumnName”)) ).ToList() Note: 1
VB.NET_CODING_IN_UIPATH.pdf,28,3,. ColumnName is the specific column name which you want to convert to list 2. MyList is the variable containing your values Implementation with UiPath Let us implement a workflow which takes a 
VB.NET_CODING_IN_UIPATH.pdf,28,4,sample data table as input and converts a particular Column ’s values into a list of string. Step 1: Drag “Build Data Table” activity into the design panel and populate it with some sample data
VB.NET_CODING_IN_UIPATH.pdf,28,5,. Step 2: Drag “Assign” activity into the design panel and fill it with above -mentioned code. Step 3: Drag “For Each” activity into the design panel and pass the above “ MyList” variable to it.
VB.NET_CODING_IN_UIPATH.pdf,29,1,25 | P a g e C l i c k t o fo l l o w Step 4: Drag “Message Box” activity 
VB.NET_CODING_IN_UIPATH.pdf,29,2,into the For Each activity and pass the “ item” value into it. Step 5: Fin
VB.NET_CODING_IN_UIPATH.pdf,29,3,"ally, let’s run the bot. Now, we can see all the values in the columns bei"
VB.NET_CODING_IN_UIPATH.pdf,29,4,ng displayed by clicking OK . Click the link below to download the example
VB.NET_CODING_IN_UIPATH.pdf,29,5, project: https://drive.google.com/open?id=1iOaeCwh18p0EJ8td6kudYIBnPNIM67Vj
VB.NET_CODING_IN_UIPATH.pdf,30,1,26 | P a g e C l i c k t o fo l l o w 2.9 How to Only Get the Headers From a Datatable Sometimes you might want to copy the schema of one excel to another excel. dt_New = dt_Origi
VB.NET_CODING_IN_UIPATH.pdf,30,2,"nal.Clone This only clones the structure of the DataTable, i.e. the headers. It doesn’t copy the content of the DataTable, to do that you would use the Copy Method like so: dt_New"
VB.NET_CODING_IN_UIPATH.pdf,30,3, = dt_Original.Copy Implementation with UiPath Let us implement a workflow which takes a “ DataTable ” and displays the “ Headers ” of it. Step 1: Drag “Build Data Table” activity
VB.NET_CODING_IN_UIPATH.pdf,30,4, into the design panel and populate it with some sample data. Step 2: Drag an “Assign” activity into the design panel and fill it with the above -mentioned code. Step 3: Drag “Out
VB.NET_CODING_IN_UIPATH.pdf,30,5,put Data Table” activity into the design panel and convert the Data Table type to String type. Step 4: Drag a “Message Box” activity into the design panel to display the headers .
VB.NET_CODING_IN_UIPATH.pdf,31,1,27 | P a g e C l i c k t o fo l l o w S
VB.NET_CODING_IN_UIPATH.pdf,31,2,"tep 5: Finally, let’s run the project. "
VB.NET_CODING_IN_UIPATH.pdf,31,3,Click the link below to download the ex
